country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Afghanistan,2000,AFG,19542986.0,11283792896.0,0.01,0.001,1.047,-0.045,-4.078,0.864,-0.154,-15.165,0.044,0.077,0.146,0.054,0.093,0.177,0.004,0.0,0.0,0.0,0.0,1.969,72.449,388.872,11.851,5.934,13.897,836.015,38.798,0.0,302.595,0.524,0.022,0.001,0.224,0.011,0.711,0.588,-0.183,-0.009,9.56,0.489,3.48,0.178,0.788,0.04,0.0,0.0,5.914,0.001,0.004,0.003,0.0,0.011,0.007,0.023,0.002,0.055,0.011,0.13,0.011,0.0,0.008,0.005,-0.004,0.008,0.0,0.08,0.0,0.0,0.001,0.0,11.5,13.89,0.0,0.0
Albania,2000,ALB,3182027.0,15214264320.0,0.094,0.029,3.025,0.039,1.297,2.732,0.039,1.438,0.859,0.18,0.095,0.951,0.199,0.105,0.07,0.022,4.091,1.286,0.269,9.669,197.042,444.985,60.235,0.0,15.367,440.34,111.771,0.0,9029.438,1.888,0.0,0.0,0.022,0.007,2.558,2.64,-0.293,-0.092,3.71,1.166,1.21,0.38,2.84,0.892,0.0,0.0,28.732,0.013,0.012,0.009,0.001,0.052,0.019,0.026,0.011,0.0,0.013,0.069,0.031,0.0,0.0,0.0,-0.006,0.028,0.0,0.031,0.0,0.0,0.0,0.0,8.4,8.14,1.066,35.24
Algeria,2000,DZA,30774624.0,208554147840.0,3.789,0.123,82.221,-9.447,-10.306,87.277,-7.579,-7.99,2.836,0.418,0.291,2.672,0.394,0.274,1.96,0.064,0.0,0.0,0.0,78.05,2113.382,2971.418,84.958,441.168,800.874,1156.945,708.332,0.0,9746.524,1.438,11.109,0.361,38.534,1.252,5.284,5.316,5.056,0.164,74.86,2.433,7.64,0.248,26.828,0.872,0.0,0.0,299.946,0.525,0.323,0.286,0.021,0.424,0.202,0.176,0.016,4.121,0.656,0.18,0.194,0.0,3.983,0.814,0.099,0.26,0.0,0.389,0.003,0.001,0.004,0.0,163.6,162.62,0.0,0.0
American Samoa,2000,ASM,58251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,39429.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,2000,AND,66116.0,0.0,0.0,0.0,0.524,0.011,2.143,0.561,0.011,2.0,8.479,0.0,0.0,7.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,5.423,0.0,0.0,0.0,0.513,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.924,8.924,0.037,0.554,0.03,0.454,0.0,0.0,0.524,7.925,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.005,0.0,0.001,0.0,0.0,0.0,0.0,0.59,0.59,0.0,0.0
Angola,2000,AGO,16394067.0,23512020992.0,0.081,0.005,9.516,0.386,4.226,39.744,6.651,20.099,2.424,1.69,1.225,0.58,0.405,0.293,0.0,0.0,0.0,0.0,0.0,7.103,190.14,4281.289,1.601,68.065,15.025,8807.084,98.346,0.0,1979.256,1.38,4.683,0.286,1.085,0.066,3.516,4.962,30.228,1.844,37.0,2.257,17.77,1.084,3.668,0.224,0.0,0.0,32.448,0.011,0.037,0.13,0.0,0.039,0.018,0.254,0.0,0.636,0.012,1.371,0.027,0.0,1.679,0.023,0.591,0.036,0.0,0.374,0.002,0.002,0.004,0.0,81.34,57.64,0.0,0.0
Anguilla,2000,AIA,11071.0,0.0,0.0,0.0,0.088,0.007,9.091,0.088,0.007,9.091,7.943,0.0,0.0,7.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.74,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,7.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2000,ATG,75070.0,0.0,0.0,0.0,0.293,0.011,3.896,0.256,0.011,4.478,3.417,0.0,0.12,3.905,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.901,0.0,0.0,0.0,-7.804,13.0,0.0,28457.223,0.0,0.0,0.0,0.0,0.0,7.993,7.993,-0.037,-0.488,0.18,2.398,0.02,0.266,0.293,3.905,0.0,0.0,2.136,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,-0.001,0.004,0.0,0.0,0.0,-0.001,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0
Argentina,2000,ARG,37070772.0,536481038336.0,2.771,0.075,142.358,-4.927,-3.345,186.29,-5.879,-3.059,5.025,0.347,0.267,3.84,0.265,0.204,1.656,0.045,141.089,3.806,0.263,122.066,4979.467,14438.01,465.173,152.606,1138.292,10043.354,3101.329,0.0,18849.811,1.303,1.059,0.029,69.438,1.873,7.845,9.101,43.931,1.185,117.51,3.17,39.91,1.077,67.434,1.819,0.0,0.0,698.777,0.384,0.559,0.609,0.018,0.663,0.476,0.857,0.089,1.426,0.933,1.563,0.848,0.0,0.38,1.468,0.859,0.655,0.0,1.292,0.006,0.008,0.015,0.001,337.38,290.82,-1.269,-0.892
Armenia,2000,ARM,3168525.0,15244832768.0,0.139,0.044,3.491,0.442,14.49,5.104,0.405,8.625,1.611,0.335,0.174,1.102,0.229,0.119,0.0,0.0,4.251,1.342,0.279,9.349,278.051,478.362,43.7,2.157,83.598,204.708,139.247,0.0,9270.454,1.927,0.0,0.0,2.565,0.809,1.89,1.931,1.612,0.509,1.8,0.568,0.53,0.167,0.788,0.249,0.0,0.0,29.374,0.019,0.014,0.017,0.0,0.051,0.027,0.028,0.008,0.02,0.069,0.032,0.038,0.0,0.0,0.054,0.032,0.008,0.0,0.025,0.0,0.0,0.0,0.0,6.12,5.99,0.76,21.763
